COMPANY_NAME,COUNTRY_NAME
ICHIMASA KAMABOKO CO LTD,Indonesia
ICHIMASA KAMABOKO CO LTD,United States of America
IMURAYA GROUP CORP LIMITED,China
IMURAYA GROUP CORP LIMITED,Japan
IMURAYA GROUP CORP LIMITED,Malaysia
IMURAYA GROUP CORP LIMITED,United States of America
INDUSTRIAL PESQUERA SANTA PRISCILA,Ecuador
INDUSTRIAL PESQUERA SANTA PRISCILA,Peru
INEPACA,Ecuador
ITOCHU,Indonesia
ITOCHU,Japan
J & J DENHOLM LTD,United Kingdom
JAPFA COMFEED,Indonesia
JINGHAI GROUP CO LTD,China
JINGHAI GROUP CO LTD,Ecuador
JINZAI FOOD,China
JINZAI FOOD,Kenya
KABUSHIKI USUFUKU HONTEN,Ireland
KABUSHIKI USUFUKU HONTEN,Japan
KABUSHIKI USUFUKU HONTEN,South Africa
KABUSHIKI USUFUKU HONTEN,Spain
KAIHAN,Japan
KAKIYASU HONTEN,Japan
KALDVIK AS,Iceland
KANEDAI CO LTD,China
KANEDAI CO LTD,Japan
KANEDAI CO LTD,Namibia
KANEDAI CO LTD,Viet Nam
KANGAMIUT GROUP,Denmark
KIEN HUNG JOINT STOCK COMPANY VN (KIHUSEA VN),Viet Nam
KONGPHOP FROZEN FOODS CO LTD,Thailand
KYOKUYO CO LTD,Canada
KYOKUYO CO LTD,Japan
LABEYRIE FINE FOODS,Belgium
LABEYRIE FINE FOODS,Canada
LABEYRIE FINE FOODS,France
LABEYRIE FINE FOODS,Netherlands
LABEYRIE FINE FOODS,Spain
LABEYRIE FINE FOODS,United Kingdom
LABEYRIE FINE FOODS,United States of America
LEROY SEAFOOD,Denmark
LEROY SEAFOOD,Finland
LEROY SEAFOOD,France
LEROY SEAFOOD,Italy
LEROY SEAFOOD,Netherlands
LEROY SEAFOOD,Norway
LEROY SEAFOOD,Portugal
LEROY SEAFOOD,Spain
LEROY SEAFOOD,Sweden
LEROY SEAFOOD,United Kingdom
LIANCHENG OVERSEAS FISHERIES,China
LIANCHENG OVERSEAS FISHERIES,Cook Islands
LIANCHENG OVERSEAS FISHERIES,Ecuador
LIANCHENG OVERSEAS FISHERIES,Hong Kong SAR
LIANCHENG OVERSEAS FISHERIES,Marshall Islands
LIANCHENG OVERSEAS FISHERIES,Micronesia
LIANCHENG OVERSEAS FISHERIES,Palau
LIANCHENG OVERSEAS FISHERIES,Samoa
LIANCHENG OVERSEAS FISHERIES,United States of America
LIYANG COMPANY,China
MARINE FARM,Chile
MARINE FARM,United States of America
MARR SPA,Argentina
MARR SPA,India
MARR SPA,Italy
MARR SPA,Mexico
MARR SPA,United States of America
MARS INC,Thailand
MARUBENI,Denmark
MARUBENI,Japan
MARUBENI,United States of America
MARUDAI FOOD,Japan
MARUHA NICHIRO CORP,Australia
MARUHA NICHIRO CORP,Japan
MARUHA NICHIRO CORP,Micronesia
MARUHA NICHIRO CORP,Peru
