SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
Falkland sprat,Sprattus fuegensis,Least Concern,Decreasing
False herring,Harengula clupeola,Least Concern,Decreasing
False scad,Caranx rhonchus,Least Concern,Stable
Finstripe goatfish,Upeneus taeniopterus,Least Concern,Unknown
Five-lined snapper,Lutjanus quinquelineatus,Least Concern,Unknown
Flathead grey mullet,Mugil cephalus,Least Concern,Stable
Flathead sole,Hippoglossoides elassodon,Least Concern,Stable
Florida pompano,Trachinotus carolinus,Least Concern,Unknown
Forkbeard,Phycis phycis,Least Concern,Unknown
Fourbeard rockling,Enchelyopus cimbrius,Least Concern,Unknown
Foureyed sole,Microchirus ocellatus,Data Deficient,Unknown
French grunt,Haemulon flavolineatum,Least Concern,Unknown
Frigate tuna,Auxis thazard,Least Concern,Stable
Fringescale sardinella,Sardinella fimbriata,Least Concern,Unknown
Gag,Mycteroperca microlepis,Vulnerable,Decreasing
Giant grouper,Epinephelus lanceolatus,Data Deficient,Decreasing
Giant trevally,Caranx ignobilis,Least Concern,Unknown
Gold-saddle goatfish,Parupeneus cyclostomus,Least Concern,Stable
Goldband goatfish,Upeneus moluccensis,Least Concern,Stable
Goldbanded jobfish,Pristipomoides multidens,Least Concern,Unknown
Golden eye jobfish,Pristipomoides flavipinnis,Least Concern,Unknown
Golden threadfin bream,Nemipterus virgatus,Vulnerable,Decreasing
Golden trevally,Gnathanodon speciosus,Least Concern,Unknown
Goldflag jobfish,Pristipomoides auricilla,Least Concern,Unknown
Goldstripe sardinella,Sardinella gibbosa,Least Concern,Unknown
Gould's flying squid,Nototodarus gouldi,Least Concern,Unknown
Graysby,Cephalopholis cruentata,Least Concern,Stable
Greasy grouper,Epinephelus tauvina,Data Deficient,Unknown
Great pompano,Trachinotus goodei,Least Concern,Unknown
Great white shark,Carcharodon carcharias,Vulnerable,Decreasing
Greater amberjack,Seriola dumerili,Least Concern,Unknown
Green jobfish,Aprion virescens,Least Concern,Unknown
Greenback horse mackerel,Trachurus declivis,Least Concern,Stable
Grey gurnard,Eutrigla gurnardus,Least Concern,Unknown
Grey snapper,Lutjanus griseus,Least Concern,Unknown
Gulf menhaden,Brevoortia patronus,Least Concern,Stable
Haddock,Melanogrammus aeglefinus,Vulnerable,
Harry hotlips,Plectorhinchus gibbosus,Least Concern,Stable
Hickory shad,Alosa mediocris,Least Concern,Increasing
Highfin grouper,Epinephelus maculatus,Least Concern,Decreasing
Hilsa shad,Tenualosa ilisha,Least Concern,Decreasing
Honeycomb grouper,Epinephelus merra,Least Concern,Stable
Horned octopus,Eledone cirrhosa,Least Concern,Unknown
Horse-eye jack,Caranx latus,Least Concern,Stable
Humpback grouper,Cromileptes altivelis,Data Deficient,Decreasing
Humpback red snapper,Lutjanus gibbus,Least Concern,Unknown
Imposter trevally,Carangoides talamparoides,Least Concern,Unknown
Indian anchovy,Stolephorus indicus,Least Concern,Unknown
Indian goatfish,Parupeneus indicus,Least Concern,Unknown
Indian mackerel,Rastrelliger kanagurta,Data Deficient,Unknown
Indian oil sardine,Sardinella longiceps,Least Concern,Unknown
Indian pompano,Trachinotus mookalee,Least Concern,Unknown
Indian scad,Decapterus russelli,Least Concern,Decreasing
Indian threadfish,Alectis indica,Least Concern,Unknown
Indo-Pacific king mackerel,Scomberomorus guttatus,Data Deficient,Unknown
Indo-Pacific sailfish,Istiophorus platypterus,Least Concern,Unknown
Inshore sand perch,Diplectrum pacificum,Least Concern,Unknown
Intermediate scabbardfish,Aphanopus intermedius,Least Concern,Unknown
Island grouper,Mycteroperca fusca,Vulnerable,Decreasing
Island trevally,Carangoides orthogrammus,Least Concern,Unknown
Japanese Spanish mackerel,Scomberomorus niphonius,Data Deficient,Unknown
Japanese anchovy,Engraulis japonicus,Least Concern,Unknown
Japanese flying squid,Todarodes pacificus,Least Concern,Unknown
Japanese jack mackerel,Trachurus japonicus,Near Threatened,Decreasing
Japanese sardinella,Sardinella zunasi,Least Concern,Unknown
Japanese scad,Decapterus maruadsi,Least Concern,Unknown
John dory,Zeus faber,Data Deficient,Stable
John's snapper,Lutjanus johnii,Least Concern,Unknown
Jumbo flying squid,Dosidicus gigas,Data Deficient,Unknown
Kamchatka flounder,Atheresthes evermanni,Least Concern,Increasing
Kawakawa,Euthynnus affinis,Least Concern,Unknown
Kelee shad,Hilsa kelee,Least Concern,Stable
King mackerel,Scomberomorus cavalla,Least Concern,Stable
Klein's sole,Synapturichthys kleinii,Data Deficient,Unknown
Lane snapper,Lutjanus synagris,Near Threatened,Decreasing
Large-headed scorpionfish,Pontinus macrocephalus,Least Concern,Unknown
Largehead hairtail,Trichiurus lepturus,Least Concern,Stable
Lavender jobfish,Pristipomoides sieboldii,Least Concern,Unknown
Leather bass,Dermatolepis dermatolepis,Least Concern,Unknown
Lebranche mullet,Mugil liza,Data Deficient,Unknown
Leerfish,Lichia amia,Least Concern,Unknown
Lemon sole,Microstomus kitt,Least Concern,Stable
Leopard coralgrouper,Plectropomus leopardus,Least Concern,Decreasing
Lesser flying squid,Todaropsis eblanae,Least Concern,Unknown
Little tunny(=Atl.black skipj),Euthynnus alletteratus,Least Concern,Stable
Longbill spearfish,Tetrapturus pfluegeri,Least Concern,Stable
Longfin mako,Isurus paucus,Endangered,Decreasing
Longfin trevally,Carangoides armatus,Least Concern,Unknown
Longfin yellowtail,Seriola rivoliana,Least Concern,Stable
Longnose anchovy,Anchoa nasus,Least Concern,Unknown
Longnose trevally,Carangoides chrysophrys,Least Concern,Unknown
Longspine grunt,Pomadasys macracanthus,Least Concern,Unknown
Longtail Southern cod,Patagonotothen ramsayi,Data Deficient,Decreasing
Longtail tuna,Thunnus tonggol,Data Deficient,Unknown
Lookdown,Selene vomer,Least Concern,Stable
Mackerel scad,Decapterus macarellus,Least Concern,Unknown
Madeiran sardinella,Sardinella maderensis,Vulnerable,Unknown
Malabar blood snapper,Lutjanus malabaricus,Least Concern,Unknown
Malabar grouper,Epinephelus malabaricus,Least Concern,Decreasing
Malabar trevally,Carangoides malabaricus,Least Concern,Unknown
Mangrove red snapper,Lutjanus argentimaculatus,Least Concern,Unknown
Manybar goatfish,Parupeneus multifasciatus,Least Concern,Unknown
Mediterranean flyingfish,Cheilopogon heterurus,Least Concern,Unknown
Mediterranean horse mackerel,Trachurus mediterraneus,Least Concern,Stable
Mediterranean spearfish,Tetrapturus belone,Least Concern,Stable
Mexican barred snapper,Hoplopagrus guentherii,Least Concern,Unknown
Middling thread herring,Opisthonema medirastre,Least Concern,Unknown
Minstrel sweetlips,Plectorhinchus schotaf,Least Concern,Unknown
Misty grouper,Hyporthodus mystacinus,Least Concern,Unknown
Mottled grouper,Mycteroperca rubra,Least Concern,Unknown
Mud sole,Austroglossus pectoralis,Data Deficient,Unknown
Mutton snapper,Lutjanus analis,Near Threatened,Decreasing
Narrow-barred Spanish mackerel,Scomberomorus commerson,Near Threatened,Decreasing
Nassau grouper,Epinephelus striatus,Critically Endangered,Decreasing
